arg,verb,sentence,verb_idx,label
shock,absorb,Shocks from one-time changes in the terms of trade should be absorbed by adjustments in exchange-rate terms -- not price levels .,13,1
carrier,absorb,"During the past 18 months , the Houston-based unit of Texas Air Corp. absorbed several carriers , in the process inheriting a hodge-podge of different aircraft .",15,1
chili,absorb,"In the years since 1853 , when 4 , 058 steamboats arrived at the Cincinnati waterfront loaded with `` foreign '' people and exotic merchandise , Cincinnati residents have absorbed chili and pizza and wontons and dirty rice while adjusting to electric music and jet lag .",30,1
worker,absorb,Mr. Wyss of Data Resources suggested that factories may be having difficulty hiring new workers at a time of such low unemployment or may simply not be able to absorb as many new workers as they would like .,29,1
portion,absorb,"Management of three of the five highest yielding general purpose funds , as ranked by the Donoghue Organization , absorb a portion of fund expenses .",19,1
blow,absorb,"Meanwhile , Democratic nominee Michael Dukakis -- after a month of absorbing Republican blows on his patriotism and being portrayed as a big taxer -- tried to gain the offensive with an old Democratic chestnut: the Republicans are going to take away your Social Security .",11,1
tariff,absorb,"And even when that loophole was closed , in 1980 , the Japanese decided to absorb the tariff rather than boost prices .",15,1
activity,absorb,Mr. Ennis said he believes Rockwood got into financial difficulty because its expansion efforts `` outstripped its ability to absorb those activities . '',20,1
bulk,absorb,"Remics are absorbing the bulk of newly issued mortgage securities as institutional buyers , such as thrifts and insurance companies , prefer the more tailored investment features of structured mortgage securities to the greater payment uncertainties of ordinary pass-throughs issued by Ginnie Mae , Freddie Mac and Fannie Mae .",2,1
setback,absorb,"And the $ 300 million sunflower industry is faring far worse than the $ 10.5 billion soybean industry , which is large enough to absorb short-term setbacks .",24,1
pay,absorb,"The cost , about $ 250 a month , absorbs almost a third of her $ 1 , 400 monthly take-home pay .",9,1
selling,absorb,"`` When the market absorbs heavy selling , as this one did , and still comes back , it indicates to me that it wants to go higher , '' Mr. Radoccia said .",5,1
influx,absorb,"Jordan , with a flagging economy and a 4.2 % annual birth-rate , could n't absorb another influx of refugees no matter how sympathetically it viewed their plight .",17,1
force,absorb,"As a result , total investment from all sources , domestic and foreign , of about 16 % of gross national product is still way short of the 25 % analysts believe is needed to absorb a fast-expanding labor force .",35,1
manpower,absorb,"A U.S. Department of Labor report prepared by the U.S. Embassy here said the country `` continues to rely heavily on export of labor , tramsmigration and the capability of the informal sector to absorb surplus manpower to take up each year 's slack in unemployment opportunities . ''",35,1
cost,absorb,To expect banks to absorb a cost without a commensurate charge defies logic .,4,1
project,absorb,"While reconstruction projects may initially absorb many of the workers , the need to find work for men demobilized from Iraq 's million-strong army makes it unlikely that guest labor will remain at current levels .",5,1
